left_shoulder_left_wrist,right_shoulder_right_wrist,left_hip_left_ankle,right_hip_right_ankle,left_hip_left_wrist,right_hip_right_wrist,left_shoulder_left_ankle,right_shoulder_right_ankle,left_hip_right_wrist,right_hip_left_wrist,left_elbow_right_elbow,left_knee_right_knee,left_wrist_right_wrist,left_ankle_right_ankle,left_hip_avg_left_wrist_left_ankle,right_hip_avg_right_wrist_right_ankle,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
2.7917317675811564,3.1075802875395433,1.821805666996425,1.95543913043231,3.6946068435056363,3.07393940788581,3.1380823121935895,2.4833047627507203,2.0595791801091763,4.979895093450462,3.366023010253766,1.450157304828452,2.032518080600256,1.664710473090156,1.15809034038279,0.6681035872677089,72.12972933227782,122.86894503677506,94.16542144068734,121.42627726423171,133.43103120045254,149.30121145357884,148.61260458889055,0
3.195873640015008,3.6336528725230326,1.5789558924477038,1.750284330073638,3.7450819788162444,2.9116644431404177,2.663480569972654,2.214160056667629,1.8426573443518626,5.246244538023408,4.09044442927071,1.6852575334819782,2.492018562707557,1.9931238077270268,1.3604071109026457,0.7304858826252235,46.51158979420744,109.52368285201746,103.47894087781258,116.0627613927607,131.24711474904913,151.959682272117,154.56057484375478,1
3.041362885578618,3.0920112018198473,1.449605252301411,1.5337993007204036,3.2841171622826,2.5165970394076824,2.317896425650527,2.1238807608132566,1.7128932416227132,4.523118962098211,3.2645968469404334,1.328046709086524,2.223235856285845,1.5670366938838816,1.1586514808800912,0.6249526202573598,51.35249602629213,90.380581805554,92.21128415316356,112.31643851980948,134.15449939170483,148.1631649567943,157.14933959673726,1
2.0814149610587966,1.8242734628279147,1.3706304804272658,1.4312893484331188,2.4022419544618505,1.64672968688384,2.2459020941476986,2.1448043564544106,1.6347770521325213,3.479392512316286,3.1210310819703113,1.2702723964656781,2.343580638867253,1.5047207057297047,0.7346753984093611,0.11857960574967945,66.30085330270096,92.13444342564287,87.91454025201398,114.62377823912698,137.69253648371085,126.66323176016014,147.5478966096263,1
1.0179294170944349,0.6410481060078503,1.2986337154342478,1.369841666384323,1.645382552072006,1.7746296632653806,2.153745838618387,2.128133739592957,2.831592324944882,2.3426005033151953,3.4683154260626674,1.373426377150694,2.812779882882974,1.5270854745201097,0.28069752507116363,0.7862313049610403,132.92189785413714,104.42833866106278,95.3942971063254,120.5175436983794,131.98188182546815,75.33110217436108,83.11675842529947,1
1.0403275839911676,0.7560300885167827,1.31290019904696,1.32260298198481,1.6745166884576967,1.7000725390316467,2.145365779077978,2.122777793436213,2.4718480205794435,2.2200805910304227,2.86664307035533,1.2648628615682762,2.3586112270016235,1.1744120523200965,0.24998116100873738,0.619689184431767,121.81636094226255,103.41051478911164,90.74742154320803,134.96736967867898,122.55675413747349,104.83523135996134,94.90815535553304,1
0.9145331577121919,0.8591988686748184,1.3511975169477985,1.4246510345505148,1.695017439397589,1.785422337483051,2.226335078376089,2.125096179845002,2.5161079637741217,2.209731213592998,2.8847655690124867,1.2459960248801931,2.233522119919514,1.382843592365264,0.21989005958439012,0.7173297606308314,118.74254183346673,110.42696386189743,89.81513845690124,139.6158996000455,143.70799515603454,116.43610910500409,76.45681208492604,1
1.1115290933262851,1.119589345208585,1.456385964868367,1.5175838199420246,2.012429734508093,1.797307856435929,2.456341792820862,2.2733143451550157,2.4770818875158227,2.9451113616059175,3.447254302542973,1.576938118683501,2.6538093642784077,1.6139898058292799,0.31378984300462653,0.5355349258330322,119.65496075176739,121.19440313007811,99.64140479398199,146.0285965695947,138.3143259010047,119.93940770634816,90.36386848692202,1
0.7659389745032388,0.8775177788377316,1.3487150525834435,1.3590988264095143,1.6615014138811777,2.0475980529985303,2.268510362479156,2.2041357227090588,3.032323808751635,2.087436687123976,3.138836317312631,1.528428859086892,2.4520819656194335,1.4565807263696318,0.26548680406799924,0.8379511449331539,154.41036600487948,119.39397260143193,100.66137566152577,151.32564878241925,134.72232118428772,119.4475431808238,61.603300441648294,1
0.7043172428324863,0.8883099443466114,1.2177449638285658,1.205538228178027,1.5613856971082805,2.0713459982543427,2.070426651348518,2.147869206010266,3.041025951391444,1.7083216115037392,2.7068871572166957,1.3687256029736998,2.1963578440016365,1.267534047819468,0.3084927657885708,0.8036345833237272,157.39184031497658,111.13949633008146,98.93636928195971,156.07178858386126,139.6794616292696,120.96285638912774,63.54663786444675,1
0.7586672773713614,0.9729808889716816,1.248374529702445,1.2640558242026287,1.6066927149877017,2.1823415127009986,2.114687032571118,2.1364232182213745,3.2003541120689807,1.7336978627995412,2.8831472180023883,1.3942472834916035,2.3020756919110745,1.433064448621417,0.3520490936994461,0.9451335625720404,163.5562427863685,114.58442130620384,98.40659808106889,143.22549466260938,139.98105657460533,121.96884330554364,60.049852650233646,1
